Index,Year,Suburb,OffenceType,CPI-Annual-Change
59743,2010,SAINT LUCIA,ASSAULT,MEDIUM
59744,2010,SAINT LUCIA,THEFT,MEDIUM
59745,2010,SAINT LUCIA,THEFT,MEDIUM
59746,2010,SAINT LUCIA,THEFT,MEDIUM
59747,2010,SAINT LUCIA,THEFT,MEDIUM
59748,2010,SAINT LUCIA,GOOD_ORDER,MEDIUM
59749,2010,SAINT LUCIA,HANDLING_STOLEN_GOODS,MEDIUM
59750,2010,SAINT LUCIA,THEFT,MEDIUM
59751,2010,SAINT LUCIA,UNLAWFUL_ENTRY,MEDIUM
59752,2010,SAINT LUCIA,THEFT,MEDIUM
59753,2010,SAINT LUCIA,THEFT,MEDIUM
59754,2010,SAINT LUCIA,THEFT,MEDIUM
59755,2010,SAINT LUCIA,THEFT,MEDIUM
59756,2010,SAINT LUCIA,THEFT,MEDIUM
59757,2010,SAINT LUCIA,PROPERTY_DAMAGE,MEDIUM
59758,2010,SAINT LUCIA,PROPERTY_DAMAGE,MEDIUM
